observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	SLA	CM	Shoots3	Syllep1	Circum2	Height2	NM	REP	Height1	BS_date	Circum1	Delta13C
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-12-18T01:00:00Z							581.20000000000005						
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-04-01T02:00:00Z								17.48					
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-04-01T02:00:00Z		132.26											
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-01-12T01:00:00Z					24.66								
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2004	2004-04-01T02:00:00Z									6				
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2005	2015-09-01T02:00:00Z											261.81327256894298		
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2005	2005-05-12T02:00:00Z				15.920100000000001									
661300386	gnpis.lot:'661300386'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1pYR0hOMQ==	661300386	661300386	2005	2005-05-12T02:00:00Z									6				
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-03-21T01:00:00Z	95.000172239871404												
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-01-12T01:00:00Z												49.465350858624909	
